Letter 1,Letter 2,Frequency
m,i,1991
m,a,1380
m,e,1302
m,l,155
m,ı,1686
m,ü,476
m,p,3
m,s,86
m,r,104
m,u,613
m,d,97
m,n,5
m,b,57
m,c,9
m,m,42
m,ş,8
m,z,8
m,k,1
m,ç,1
m,â,16
m,î,8
m,t,1
m,o,2
l,l,457
l,î,10
l,i,1213
l,a,3053
l,t,219
l,e,2818
l,u,753
l,k,147
l,ı,964
l,m,884
l,ü,245
l,o,5
l,g,43
l,v,27
l,d,544
l,â,58
l,c,40
l,s,143
l,h,5
l,ç,45
l,n,33
l,b,30
l,z,2
l,p,20
l,û,3
l,y,4
e,ğ,353
e,s,548
e,r,3562
e,d,807
e,l,1792
e,y,1423
e,k,1140
e,t,1003
e,n,2033
e,m,1187
e,b,73
e,ş,292
e,v,362
e,g,138
e,ç,183
e,z,214
e,c,177
e,p,128
e,f,58
e,â,13
e,h,65
e,j,3
e,ö,1
ğ,i,623
ğ,r,263
ğ,a,262
ğ,ü,103
ğ,ı,611
ğ,d,32
ğ,l,533
ğ,u,520
ğ,e,132
ğ,z,46
ğ,s,17
ğ,m,44
ğ,n,10
ğ,f,11
t,i,639
t,ü,275
t,e,712
t,m,601
t,ö,4
t,a,771
t,ı,584
t,l,405
t,u,490
t,r,48
t,â,2
t,t,208
t,s,27
t,o,113
t,k,9
t,h,7
t,n,21
t,ç,6
t,b,7
t,f,1
t,y,1
t,p,1
t,g,1
t,û,7
b,a,1520
b,i,1764
b,u,640
b,o,346
b,n,2
b,e,1346
b,l,2
b,s,1
b,ü,216
b,b,10
b,ı,73
b,ö,56
b,r,88
b,û,1
b,î,15
b,z,27
b,â,4
b,d,8
b,g,4
a,k,1214
a,n,3747
a,y,1163
a,r,3489
a,z,765
a,t,1043
a,ğ,905
a,p,241
a,s,655
a,c,244
a,l,1860
a,h,547
a,m,1179
a,d,672
a,i,63
a,ş,586
a,f,149
a,a,21
a,b,468
a,ç,209
a,v,298
a,g,18
k,a,2309
k,ü,143
k,o,851
k,u,806
k,â,467
k,k,41
k,ı,942
k,r,37
k,ç,55
k,l,439
k,s,125
k,i,674
k,t,229
k,b,4
k,g,2
k,e,546
k,ö,82
k,m,285
k,ş,13
k,d,8
k,c,1
k,f,82
k,y,7
k,v,1
k,h,1
k,î,2
k,û,1
